timestamp	 clinton_538_po	 clinton_538_po	 clinton_bf	 trump_bf	 clinton_538_nc	 clinton_538_nc	 clinton_538_pp	 clinton_538_pp
2016-10-17 11:23:00 -0400	0.8799	0.1199	0.837	0.162	0.9033	0.0961	0.8489	0.1505
2016-10-17 11:05:00 -0400	0.877	0.1229	0.837	0.162	0.8984	0.1012	0.8482	0.1516
2016-10-17 09:10:00 -0400	0.8726	0.1272	0.837	0.162	0.8984	0.1013	0.8432	0.1567
2016-10-17 08:32:00 -0400	0.8723	0.1276	0.837	0.162	0.8914	0.1084	0.8393	0.1605
2016-10-16 21:30:00 -0400	0.8657	0.1341	0.84	0.156	0.8878	0.11205	0.8312	0.16865
2016-10-16 19:16:00 -0400	0.8633	0.1363	0.84	0.156	0.8834	0.1165	0.8271	0.1726
2016-10-16 12:37:00 -0400	0.8623	0.1376	0.837	0.159	0.8845	0.1153	0.8285	0.1713
2016-10-16 10:03:00 -0400	0.8609	0.139	0.844	0.159	0.8849	0.1149	0.8312	0.1686
2016-10-16 08:04:00 -0400	0.8508	0.1491	0.844	0.159	0.8681	0.1315	0.8162	0.1835
2016-10-16 01:39:00 -0400	0.8482	0.1517	0.84	0.156	0.8695	0.13	0.8147	0.1852
2016-10-15 22:42:00 -0400	0.8549	0.14495	0.844	0.159	0.8743	0.1255	0.81635	0.1834
2016-10-15 17:31:00 -0400	0.8537	0.1462	0.844	0.159	0.8709	0.1286	0.8141	0.1857
2016-10-15 12:22:00 -0400	0.8563	0.1435	0.844	0.156	0.8772	0.1225	0.8212	0.1787
2016-10-15 08:07:00 -0400	0.8575	0.1422	0.844	0.156	0.8744	0.1254	0.819	0.1806
2016-10-14 17:27:00 -0400	0.8573	0.1426	0.844	0.156	0.8781	0.1212	0.8226	0.1771
2016-10-14 15:32:00 -0400	0.8488	0.1508	0.844	0.156	0.8732	0.1265	0.8185	0.1814
2016-10-14 14:20:00 -0400	0.8549	0.1446	0.844	0.156	0.8798	0.12	0.8211	0.1784
2016-10-14 13:18:00 -0400	0.8517	0.1482	0.844	0.156	0.874	0.1254	0.8168	0.1831
2016-10-14 11:23:00 -0400	0.847	0.1527	0.848	0.152	0.8748	0.1248	0.8183	0.1813
2016-10-14 09:04:00 -0400	0.844	0.1559	0.848	0.152	0.8748	0.125	0.8095	0.1903
2016-10-14 08:46:00 -0400	0.8511	0.1488	0.848	0.152	0.8751	0.1247	0.8159	0.1839
2016-10-13 22:51:00 -0400	0.85625	0.14355	0.851	0.149	0.88495	0.11465	0.8202	0.17965
